sku;colecao;categoria;subcategoria
02BL006600;AI09;Collection;Blusa
02BL006700;AI09;Collection;Blusa
02BL006800;AI09;Collection;Blusa
02BL006900;AI09;Collection;Blusa
02BL007300;VE10;Collection;Blusa
02BL007400;VE10;Collection;Blusa
02BL007500;VE10;Collection;Blusa
02BL007600;VE10;Collection;Blusa
02BL007700;AI09;Collection;Blusa
02BL007800;AI09;Collection;Blusa
02BL008000;VE10;Collection;Blusa
02BL008100;VE10;Collection;Blusa
02BL008200;VE10;Collection;Blusa
02BL008300;AI09;Collection;Camisa
02BL008400;VE10;Collection;Blusa
02BL008500;VE10;Collection;Camisa
02BL008700;VE10;Collection;Blusa
02BL008800;VE10;Collection;Blusa
02BL009200;VE10;Collection;Blusa
02BL009300;VE10;Collection;Blusa
02BL009400;VE10;Collection;Blusa
02BL009500;AI09;Collection;Blusa
02BL009700;VE10;Collection;Blusa
02BL009800;VE10;Collection;Camisa
02BL009900;VE10;Collection;Blusa
02BL010000;VE10;Collection;Blusa
02BL010200;VE10;Collection;Blusa
02BL010300;AV10;Collection;Blusa
02BL010400;AV10;Collection;Blusa
02BL010500;VE10;Collection;Blusa
02BL010600;VE10;Collection;Blusa
02BL010700;VE10;Collection;Blusa
02BL010800;VE10;Collection;Blusa
02BL010900;VE10;Collection;Blusa
02BL011000;VE10;Collection;Blusa
02BL011100;VE10;Collection;Blusa
02BL011200;VE10;Collection;Blusa
02BL011300;VE10;Collection;Blusa
02BL011400;AV10;Collection;Blusa
02BL011500;VE10;Collection;Blusa
02BL011600;VE10;Collection;Blusa
02BL011700;VE10;Collection;Blusa
02BL011800;AV10;Collection;Blusa
02BL011900;VE10;Collection;Blusa
02BL012000;VE10;Collection;Blusa
02BL012100;VE10;Collection;Blusa
02BL012200;VE10;Collection;Blusa
02BL012300;VE10;Collection;Blusa
02BL012400;VE10;Collection;Blusa
02BL012500;VE10;Collection;Blusa
02BL012600;VE10;Collection;Blusa
02BL012700;VE10;Collection;Blusa
02BL012800;VE10;Collection;Blusa
02BL012900;VE10;Collection;Blusa
02BL013000;UN01;Collection;Blusa
02BL013100;VE10;Collection;Blusa
02BL013200;VE10;Collection;Blusa
02BL013300;VE10;Collection;Blusa
02BL013400;VE10;Collection;Blusa
02BL013500;VE10;Collection;Blusa
02BL013600;VE10;Collection;Blusa
02BL013700;VE10;Collection;Blusa
02BL013800;VE10;Collection;Blusa
02BL013900;VE10;Collection;Blusa
02BL014000;VE10;Collection;Blusa
02BL014100;VE10;Collection;Blusa
02BL014200;VE10;Collection;Blusa
02BL014300;VE10;Collection;Blusa
02BL014400;VE10;Collection;Blusa
02BL014500;VE10;Collection;Blusa
02BL014600;VE10;Collection;Blusa
02BL014700;VE10;Collection;Top
02BL014800;VE10;Collection;Blusa
02BL014900;VE10;Collection;Blusa
02BL015000;VE10;Collection;Blusa
02BL015100;VE10;Collection;Blusa
02BL015200;VE10;Collection;Blusa
02BL015300;VE10;Collection;Blusa
02BL015400;VE10;Collection;Blusa
02BL015500;VE10;Collection;Blusa
02BL015600;VE10;Collection;Blusa
02BL015700;VE10;Collection;Blusa
02BL015800;VE10;Collection;Blusa
02BL015900;VE10;Collection;Blusa
02BL016000;VE10;Collection;Blusa
02BL016100;VE10;Collection;Blusa
02BL016300;VE10;Collection;Blusa
02BL016400;VE10;Collection;Blusa
02BL016500;VE10;Collection;Blusa
02BL016700;VE10;Collection;Blusa
02BL016800;VE10;Collection;Blusa
02BL016900;VE10;Collection;Blusa
02BL017000;VE10;Collection;Blusa
02BL017100;VE10;Collection;Blusa
02BL017200;VE10;Collection;Blusa
02BL017300;VE10;Collection;Blusa
02BL017500;VE10;Collection;Blusa
02BL017600;VE10;Collection;Blusa
02BL017700;VE10;Collection;Blusa
02BL017800;VE10;Collection;Blusa
02BL017900;VE10;Collection;Blusa
02BL018000;AV10;Collection;Blusa
02BL018100;AV10;Collection;Blusa
02BL018200;AV10;Collection;Blusa
02BL018300;AV10;Collection;Blusa
02BL018400;AV10;Collection;Blusa
02BL018500;AV10;Collection;Blusa
02BL018600;AV10;Collection;Blusa
02BL018700;AV10;Collection;Blusa
02BL018800;AV10;Collection;Blusa
02BL018900;UN01;Collection;Blusa
02BL019000;AV10;Collection;Blusa
02BL019100;AV10;Collection;Blusa
02BL019200;AV10;Collection;Blusa
02BL019300;AV10;Collection;Blusa
02BL019400;AV10;Collection;Blusa
02BL019500;AV10;Collection;Blusa
02BL019600;AV10;Collection;Blusa
02BL019700;AV10;Collection;Blusa
02BL019800;AV10;Collection;Blusa
02BL019900;AV10;Collection;Blusa
02BL020000;AV10;Collection;Blusa
02BL020100;AV10;Collection;Blusa
02BL020200;AV10;Collection;Blusa
02BL020300;VE11;Collection;Blusa
02BL020400;AV10;Collection;Blusa
02BL020500;AV10;Collection;Blusa
02BL020600;AV10;Collection;Blusa
02BL020700;AV10;Collection;Blusa
